"id","code","name","state"
"AURM","AURM","Rimatara","Archipel des Australes"
"AURP","AURP","Rapa","Archipel des Australes"
"AURU","AURU","Rurutu","Archipel des Australes"
"AURV","AURV","Raivavae","Archipel des Australes"
"AUTU","AUTU","Tubuai","Archipel des Australes"
"GAMA","GAMA","Mangareva","Archipel des Gambier"
"IDMO","IDMO","Moorea","Île du vent"
"IDTA","IDTA","Tahiti","Île du vent"
"IDTE","IDTE","Tetiaroa","Île du vent"
"ISBO","ISBO","Bora Bora","Île sous le vent"
"ISHU","ISHU","Huahine","Île sous le vent"
"ISMA","ISMA","Maupiti","Île sous le vent"
"ISRA","ISRA","Raiatea","Île sous le vent"
"ISTA","ISTA","Tahaa","Île sous le vent"
"MAFA","MAFA","Fatu Hiva","Archipel des Marquises"
"MAHI","MAHI","Hiva Oa","Archipel des Marquises"
"MAHU","MAHU","Ua Huka","Archipel des Marquises"
"MANK","MANK","Nuku Hiva","Archipel des Marquises"
"MATA","MATA","Tahuata","Archipel des Marquises"
"MAUA","MAUA","Ua Pou","Archipel des Marquises"
"TUFA","TUFA","Fakarava","Archipel des Tuamotu"
"TUHA","TUHA","Hao","Archipel des Tuamotu"
"TUMA","TUMA","Manihi","Archipel des Tuamotu"
"TUMK","TUMK","Makemo","Archipel des Tuamotu"
"TUMP","TUMP","Maupiti","Archipel des Tuamotu"
"TURG","TURG","Rangiroa","Archipel des Tuamotu"
"TURK","TURK","Rikitea","Archipel des Tuamotu"
"TUTK","TUTK","Tikehau","Archipel des Tuamotu"
"TUTK","TUTK","Takapoto","Archipel des Tuamotu"
